name,year,month,boxfile,director,actor,genre,score
红海行动,2018,02,3650.0,林超贤,"张译,黄景瑜,海清,杜江,蒋璐霞","剧情,动作",9.4
唐人街探案2,2018,02,3397.0,陈思诚,"王宝强,刘昊然,肖央,刘承羽,尚语贤","喜剧,动作,悬疑",9.0
我不是药神,2018,07,3099.0,文牧野,"徐峥,周一围,王传君,谭卓,章宇","剧情,喜剧",9.6
西虹市首富,2018,07,2547.0,"闫非,彭大魔","沈腾,宋芸桦,张一鸣,张晨光,常远",喜剧,9.2
复仇者联盟3：无限战争,2018,05,2390.0,"安东尼·罗素,乔·罗素","小罗伯特·唐尼,克里斯·海姆斯沃斯,马克·鲁法洛,克里斯·埃文斯,斯嘉丽·约翰逊","动作,冒险,科幻",8.9
捉妖记2,2018,02,2237.0,许诚毅,"梁朝伟,白百何,井柏然,李宇春,杨祐宁","喜剧,奇幻",8.1
毒液：致命守护者,2018,11,1860.0000000000002,鲁本·弗雷斯彻,"汤姆·哈迪,米歇尔·威廉姆斯,里兹·阿迈德,斯科特·黑兹,瑞德·斯科特","动作,惊悚,科幻",9.2
侏罗纪世界2,2018,06,1695.0,胡安·安东尼奥·巴亚纳,"克里斯·帕拉特,布莱丝·达拉斯·霍华德,泰德·拉文,托比·琼斯,贾斯蒂斯·史密斯","动作,冒险,科幻",8.6
头号玩家,2018,03,1396.0,史蒂文·斯皮尔伯格,"泰伊·谢里丹,奥利维亚·库克,本·门德尔森,丽娜·维特,T·J·米勒","动作,冒险,科幻",9.0
后来的我们,2018,04,1361.0,刘若英,"井柏然,周冬雨,田壮壮,苏小明,张子贤","剧情,爱情",8.3
一出好戏,2018,08,1355.0,黄渤,"黄渤,舒淇,王宝强,张艺兴,于和伟","剧情,喜剧",8.3
无双,2018,09,1273.0,庄文强,"周润发,郭富城,张静初,冯文娟,廖启智","动作,惊悚,犯罪",8.9
碟中谍6：全面瓦解,2018,08,1245.0,克里斯托弗·麦奎里,"汤姆·克鲁斯,亨利·卡维尔,文·瑞姆斯,西蒙·佩吉,丽贝卡·弗格森","动作,惊悚,冒险",9.0
巨齿鲨,2018,08,1051.0,乔·德特杜巴,"杰森·斯坦森,李冰冰,雷恩·威尔森,鲁比·罗丝,赵文瑄","动作,冒险,科幻",8.7
狂暴巨兽,2018,04,1002.9999999999999,布拉德·佩顿,"道恩·强森,娜奥米·哈里斯,杰弗里·迪恩·摩根,玛琳·阿克曼,乔·曼根尼罗","动作,冒险,科幻",8.9
超时空同居,2018,05,899.0,苏伦,"雷佳音,佟丽娅,徐峥,张衣,于和伟","喜剧,爱情,奇幻",8.7
蚁人2：黄蜂女现身,2018,08,831.0,佩顿·里德,"保罗·路德,伊万杰琳·莉莉,迈克尔·佩纳,沃尔顿·戈金斯,迈克尔·道格拉斯","动作,冒险,科幻",8.8
海王,2018,12,824.0,温子仁,"杰森·莫玛,艾梅柏·希尔德,妮可·基德曼,帕特里克·威尔森,威廉·达福","动作,冒险,奇幻",9.5
无名之辈,2018,11,759.0,饶晓志,"陈建斌,任素汐,潘斌龙,章宇,王砚辉","剧情,喜剧,犯罪",9.1
无问西东,2018,01,754.0,李芳芳,"章子怡,黄晓明,王力宏,张震,陈楚生","爱情,战争",8.6
神秘巨星,2018,01,747.0,阿德瓦·香登,"Aamir Hussain Khan,塞伊拉·沃西,拉杰·阿晶,法如克·贾法尔,提斯·沙马","剧情,喜剧,音乐",9.3
西游记女儿国,2018,02,727.0,郑保瑞,"郭富城,冯绍峰,赵丽颖,小沈阳,罗仲谦","喜剧,爱情,动作",7.9
摩天营救,2018,07,669.0,罗森·马歇尔·瑟伯,"道恩·强森,昆凌,文峰,黄经汉,内芙·坎贝尔","动作,惊悚,冒险",9.1
黑豹,2018,03,662.0,瑞恩·库格勒,"查德维克·博斯曼,迈克尔·B·乔丹,露皮塔·尼永奥,丹娜·奎里拉,马丁·弗瑞曼","剧情,动作,科幻",8.4
环太平洋：雷霆再起,2018,03,633.0,斯蒂文·S·迪奈特,"约翰·博耶加,斯科特·伊斯特伍德,景甜,卡莉·史派妮,菊地凛子","动作,冒险,科幻",8.1
影,2018,09,628.0,张艺谋,"邓超,孙俪,郑恺,王千源,王景春","剧情,动作,古装",8.2
狄仁杰之四大天王,2018,07,606.0,徐克,"赵又廷,冯绍峰,林更新,阮经天,马思纯","动作,悬疑,奇幻,武侠,古装",8.1
熊出没·变形记,2018,02,605.0,"丁亮,林汇达,林永长","张伟,张秉君,谭笑,贝丝·比厄","喜剧,动画,冒险",9.1
李茶的姑妈,2018,09,604.0,吴昱翰,"黄才伦,艾伦,宋阳,卢靖姗,韩彦博",喜剧,7.9
邪不压正,2018,07,583.0,姜文,"姜文,彭于晏,廖凡,周韵,许晴","剧情,喜剧,动作",7.4
爱情公寓,2018,08,555.0,韦正,"陈赫,袁弘,娄艺潇,邓家佳,孙艺洲","喜剧,爱情",6.8
动物世界,2018,06,509.0,韩延,"李易峰,迈克尔·道格拉斯,周冬雨,曹炳琨,王戈","动作,悬疑,冒险",8.5
古墓丽影：源起之战,2018,03,497.0,罗阿尔·乌索格,"艾丽西亚·维坎德,多米尼克·威斯特,沃尔顿·戈金斯,吴彦祖,克里斯汀·斯科特·托马斯","动作,冒险",8.3
勇敢者游戏：决战丛林,2018,01,491.0,杰克·卡斯丹,"道恩·强森,凯文·哈特,杰克·布莱克,凯伦·吉兰,尼克·乔纳斯","动作,冒险",8.6
厉害了，我的国,2018,03,480.0,卫铁,王浩宇,纪录片,9.6
反贪风暴3,2018,09,442.0,林德禄,"古天乐,张智霖,郑嘉颖,邓丽欣,栢天男","剧情,动作,犯罪",8.8
神奇动物：格林德沃之罪,2018,11,398.0,大卫·叶茨,"埃迪·雷德梅恩,凯瑟琳·沃特森,艾莉森·萨多尔,约翰尼·德普,裘德·洛","冒险,奇幻,家庭",7.6
快把我哥带走,2018,08,375.0,郑芬芬,"张子枫,彭昱畅,赵今麦,孙泽源,方翔锐","喜剧,奇幻",9.0
