name,year,month,boxfile,director,actor,genre,score
战狼2,2017,07,5683.0,吴京,"吴京,弗兰克·格里罗,吴刚,张翰,卢靖姗","动作,战争",9.7
速度与激情8,2017,04,2670.0,F·加里·格雷,"范·迪塞尔,杰森·斯坦森,道恩·强森,米歇尔·罗德里格兹,泰瑞斯·吉布森","动作,惊悚,犯罪",9.3
羞羞的铁拳,2017,09,2213.0,"宋阳,张吃鱼","艾伦,马丽,沈腾,田雨,薛皓文","喜剧,奇幻",9.1
前任3：再见前任,2017,12,1941.0,田羽生,"韩庚,郑恺,于文文,曾梦雪,罗米","喜剧,爱情",9.2
功夫瑜伽,2017,01,1748.0,唐季礼,"成龙,李治廷,张艺兴,索努·苏德,母其弥雅","喜剧,动作,冒险",8.4
西游伏妖篇,2017,01,1652.0,"徐克,周星驰","吴亦凡,林更新,姚晨,林允,巴特尔","喜剧,动作,奇幻",7.7
变形金刚5：最后的骑士,2017,06,1551.0,迈克尔·贝,"马克·沃尔伯格,安东尼·霍普金斯,乔什·杜哈明,劳拉·哈德克,桑地亚哥·卡布瑞拉","动作,冒险,科幻",7.5
芳华,2017,12,1422.0,冯小刚,"黄轩,苗苗,钟楚曦,杨采钰,李晓峰","剧情,爱情,战争",9.0
摔跤吧！爸爸,2017,05,1299.0,涅提·蒂瓦里,"Aamir Hussain Khan,沙克希·坦沃,法缇玛·萨那·纱卡,桑亚·玛荷塔,阿帕尔夏克提·库拉那","喜剧,动作,家庭",9.8
寻梦环游记,2017,11,1212.0,"李·昂克里奇,阿德里安·莫利纳","安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔,芮妮·维克托,爱德华·詹姆斯·奥莫斯","动画,冒险,家庭",9.6
加勒比海盗5：死无对证,2017,05,1179.0,"乔阿吉姆·罗恩尼,艾斯彭·山德伯格","约翰尼·德普,哈维尔·巴登,布兰顿·思怀兹,卡雅·斯考达里奥,杰弗里·拉什","喜剧,动作,奇幻",8.9
金刚：骷髅岛,2017,03,1158.0,乔丹·沃格特-罗伯茨,"汤姆·希德勒斯顿,塞缪尔·杰克逊,约翰·古德曼,布丽·拉尔森,景甜","动作,冒险,奇幻",8.3
极限特工：终极回归,2017,02,1125.0,D·J·卡卢索,"范·迪塞尔,甄子丹,迪皮卡·帕度柯妮,吴亦凡,鲁比·罗丝","动作,惊悚,冒险",8.7
生化危机：终章,2017,02,1109.0,保罗·安德森,"米拉·乔沃维奇,伊恩·格雷,艾丽·拉特,鲁比·罗丝,李准基","动作,惊悚,科幻",8.5
乘风破浪,2017,01,1046.0,韩寒,"邓超,彭于晏,赵丽颖,高华阳,董子健","剧情,喜剧,冒险",8.7
神偷奶爸3,2017,07,1037.0,"皮埃尔·柯芬,凯尔·巴尔达,埃里克·吉隆","史蒂夫·卡瑞尔,克里斯汀·韦格,崔·帕克,大张伟,内芙·沙雷尔","喜剧,动画,冒险",8.8
蜘蛛侠：英雄归来,2017,09,774.0,乔·沃茨,"汤姆·赫兰德,迈克尔·基顿,小罗伯特·唐尼,玛丽莎·托梅,乔恩·费儒","动作,冒险,科幻",8.2
大闹天竺,2017,01,756.0,王宝强,"王宝强,白客,岳云鹏,柳岩,林永健","喜剧,动作,冒险",7.4
雷神3：诸神黄昏,2017,11,743.0,塔伊加·维迪提,"克里斯·海姆斯沃斯,凯特·布兰切特,汤姆·希德勒斯顿,马克·鲁法洛,泰莎·汤普森","动作,冒险,奇幻",8.9
猩球崛起3：终极之战,2017,09,740.0,马特·里夫斯,"安迪·瑟金斯,伍迪·哈里森,加布里埃尔·查瓦里亚,史蒂夫·茨恩,阿米尔·米勒","剧情,动作,科幻",8.2
金刚狼3：殊死一战,2017,03,730.0,詹姆斯·曼高德,"休·杰克曼,帕特里克·斯图尔特,达芙妮·基恩,波伊德·霍布鲁克,斯戴芬·莫昌特","动作,冒险,科幻",8.6
悟空传,2017,07,696.0,"郭子健,黄智亨","彭于晏,倪妮,余文乐,欧豪,郑爽","剧情,动作,奇幻",7.6
正义联盟,2017,11,690.0,扎克·施奈德,"本·阿弗莱克,亨利·卡维尔,盖尔·加朵,杰森·莫玛,雷·费舍尔","动作,冒险,科幻",8.6
银河护卫队2,2017,05,686.0,詹姆斯·古恩,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔,范·迪塞尔,布莱德利·库珀","动作,冒险,科幻",9.1
新木乃伊,2017,06,625.0,艾里克斯·库兹曼,"汤姆·克鲁斯,索菲亚·波多拉,罗素·克洛,安娜贝拉·弗朗西斯·沃丽丝,杰克·M·约翰森","动作,冒险,奇幻",7.1
神奇女侠,2017,06,610.0,派蒂·杰金斯,"盖尔·加朵,克里斯·派恩,罗宾·怀特,丹尼·休斯顿,大卫·休里斯","动作,冒险,奇幻",8.6
一条狗的使命,2017,03,606.0,拉斯·霍尔斯道姆,"布丽特·罗伯森,乔什·加德,丹尼斯·奎德,佩吉·利普顿,K·J·阿帕","剧情,喜剧,家庭",8.9
美女与野兽,2017,03,590.0,比尔·康顿,"艾玛·沃特森,丹·史蒂文斯,卢克·伊万斯,乔什·加德,伊恩·麦克莱恩","爱情,奇幻,歌舞",8.2
追龙,2017,09,577.0,"王晶,关智耀","甄子丹,刘德华,姜皓文,郑则仕,刘浩龙","动作,犯罪",9.0
英伦对决,2017,09,539.0,马丁·坎贝尔,"成龙,皮尔斯·布鲁斯南,刘涛,梁佩诗,夏莉·墨菲","剧情,动作,犯罪",8.4
三生三世十里桃花,2017,08,534.0,"赵小丁,安东尼·拉默里纳拉","刘亦菲,杨洋,罗晋,严屹宽,李纯","爱情,奇幻,古装",7.1
妖猫传,2017,12,530.0,陈凯歌,"黄轩,染谷将太,张雨绮,秦昊,阿部宽","爱情,奇幻",7.5
杀破狼·贪狼,2017,08,522.0,叶伟信,"古天乐,吴樾,林家栋,克里斯·柯林斯,托尼·贾","剧情,动作,犯罪",8.5
熊出没·奇幻空间,2017,01,521.0,"丁亮,林永长,林汇达","尚雯婕,鲍春来,曾舜晞,孙建宏","动画,冒险",9.1
星球大战外传：侠盗一号,2017,01,476.99999999999994,加里斯·爱德华斯,"菲丽希缇·琼斯,迭戈·卢纳,艾伦·图代克,甄子丹,姜文","动作,冒险,科幻",8.0
王牌特工2：黄金圈,2017,10,474.0,马修·沃恩,"科林·费斯,塔伦·埃格顿,朱丽安·摩尔,马克·斯特朗,哈莉·贝瑞","动作,冒险,喜剧",8.7
缝纫机乐队,2017,09,459.0,大鹏,"大鹏,乔杉,古力娜扎,李鸿其,韩童生","剧情,喜剧,音乐",9.3
